index,date,headline,snippet,link
18,19830701,MANY SPEAKERS ALTERED OWN REMARKS IN DISPUTED TRANSCRIPTS,"  Of 52 instances of altered remarks cited by House Republicans as evidence that Democratic staff members were doctoring the official transcripts of committee hearings, most appear to have been requested by the speakers themselves.   Witnesses and...",http://www.nytimes.com/1983/07/02/us/many-speakers-altered-own-remarks-in-disputed-transcripts.html
19,19830801,GREENSPAN URGES ACTION ON DEFICIT,"   Alan Greenspan, a New York economist with close ties to the Reagan Administration, today called for an economic summit meeting between the Congress and the White House to work out a political agreement to lower Federal budget deficits.    Mr....",http://www.nytimes.com/1983/08/02/us/greenspan-urges-action-on-deficit.html
20,19830901,Brewer Loses Suit on Hiring,   Anheuser-Busch Inc. has been found guilty of discriminating against three black men who were refused beer bottling jobs in 1979.     Federal District Judge William L. Hungate ruled Wednesday that a written pre-employment test used by the brewer...,http://www.nytimes.com/1983/09/02/us/brewer-loses-suit-on-hiring.html
21,19831001,WELFARE SUPPORTERS EVICTED FROM PENNSYLVANIA'S CAPITOL,   About 25 people who had been protesting changes in the state's welfare law by camping in the Capitol rotunda since Sept. 19 were evicted this afternoon by security officers and the State Police.   The protesters had vowed to stay until the General...,http://www.nytimes.com/1983/10/02/us/welfare-supporters-evicted-from-pennsylvania-s-capitol.html
22,19831101,BRIEFING,"  Onward and Upward   Campaign spending for seats in the United States Senate has soared in recent years to an almost prohibitive level for candidates who are not millionaires, and the end is clearly not in sight. Mayor Pete Wilson of San Diego and...",http://www.nytimes.com/1983/11/02/us/briefing-012221.html
23,19840101,2 Crewmen Lost as Train Falls in River in Oregon,   River currents today thwarted a search for the bodies of two crew members missing after two Burlington Northern locomotives ran off an open swing bridge in a heavy fog and plunged into the Willamette River.,http://www.nytimes.com/1984/01/02/us/around-the-nation-2-crewmen-lost-as-train-falls-in-river-in-oregon.html
24,19840201,TABLE LISTING DEFICIT GETS A REMOTE HOME,"   One of the curious things in President Reagan's budget for the fiscal year 1985 is the placement of the table that shows spending, revenue and the deficit.",http://www.nytimes.com/1984/02/02/us/table-listing-deficit-gets-a-remote-home.html
25,19840301,AIR FORCE WHISTLE-BLOWER TESTIMONY BALKED,"   Pentagon officials prevented the military's best known whistle-blower from testifying in Congress today. But his report, saying the Defense Department's chief auditing agency and an Under Secretary had thwarted efforts to uncover unreasonable...",http://www.nytimes.com/1984/03/02/us/air-force-whistle-blower-testimony-balked.html
26,19840401,BALTIMORE STARTS LEGAL BIDS TO RETAKE COLTS FRANCHISE,"   When the moving vans pulled out of the Baltimore Colts' training center early Thursday and headed for Indianapolis, few tangible reminders of the football team's three decades in town remained.    But after combing the wreckage, physical and...",http://www.nytimes.com/1984/04/02/us/baltimore-starts-legal-bids-to-retake-colts-franchise.html
27,19840501,Court Says Employees Can Sue Congressmen,"   A Federal appeals court ruled today that members of Congress were not protected from lawsuits when they dismissed a Capitol Hill employee, even though lawmakers cannot be sued for official actions they take in office.   The Unites States Court of...",http://www.nytimes.com/1984/05/02/us/court-says-employees-can-sue-congressmen.html
28,19840601,Airline Pact Averts Strike,"   Frontier Airlines and the Association of Flight Attendants reached a tentative agreement tonight on a new contract, averting a strike that had been scheduled for 10:01 P.M. The agreement came after a nine-hour bargaining session.  ",http://www.nytimes.com/1984/06/02/us/airline-pact-averts-strike.html
29,19840701,INSURANCE FOR QUAKE CAN'T WAIT,   For years Californians have been chided for paying too little attention to the powerful seismic stresses that geologists say are building in the earth beneath them and will inevitably be released in a major earthquake.    Now there is concern...,http://www.nytimes.com/1984/07/02/us/california-journal-insurance-for-quake-can-t-wait.html
30,19840801,REAGAN AND MONDALE IN DISPUTE ON DEBATES: HOW MANY AND WHO,"   The question of Presidential debates became an open dispute between the two major candidates today. President Reagan cautioned that voters might be ''bored'' with too many, and Walter F. Mondale accused Mr. Reagan of preferring an ''ad agency''...",http://www.nytimes.com/1984/08/02/us/reagan-and-mondale-in-dispute-on-debates-how-many-and-who.html
31,19840901,SURVIVAL LESSON FOR TEACHERS IN ALASKA BUSH,"   Steve Grubis is a survival specialist, teaching teachers moving her from other parts of the nation about life in the Alaska Bush, where problems with language and culture often make them ''strangers in a strange land.''   ''A typical village scene...",http://www.nytimes.com/1984/09/02/us/survival-lesson-for-teachers-in-alaska-bush.html
32,19841001,Reagan at the Bat,"  President Reagan, asked yesterday what team he planned to root   for in the World Series, carefully evaded the issue but not without a few faulty recollections.    ''That's an unfair question,'' Mr. Reagan said, amid laughter, after a speech in...",http://www.nytimes.com/1984/10/02/us/briefing-reagan-at-the-bat.html
33,19841101,GUARDS QUELL CUBAN INMATES,"   The authorities fired tear gas into cellblocks at the Federal penitentiary here tonight after about 500 Cuban prisoners set fires and created disturbances, demanding their freedom.   Police, Federal marshals and fire units were sent to the prison...",http://www.nytimes.com/1984/11/02/us/guards-quell-cuban-inmates.html
34,19850101,Tremor Near Palm Springs,"   A mild earthquake tonight struck the area where President Reagan is spending the New Year's holiday, but there were no reports of injury or damage. The earthquake struck about 9:27 P.M. and measured 4.1 on the Richter scale, according to the...",http://www.nytimes.com/1985/01/02/us/tremor-near-palm-springs.html
35,19850201,ANSWERS TO QUIZ,"  Questions appear on page 13.     1. In the Andes of Peru.   2. The statement, from a videotape made public in London, was by William Buckley, a political officer in the United States Embassy in Beirut who, along with Mr. Weir, Mr. Levin and two...",http://www.nytimes.com/1985/02/02/us/answers-to-quiz.html
36,19850301,E.P.A. Seeks $3.9 Million Fine,"   The Union Carbide Company is being fined $3.9 million for a delay in reporting the testing of a chemical that could pose a substantial risk to human health, the Environmental Protection Agency said this evening.   The chemical, diethyl sulfate,...",http://www.nytimes.com/1985/03/02/us/epa-seeks-3.9-million-fine.html
37,19850401,AREA FOR SHIPS TO BURN WASTES IS FOUND TO BE WHALE HABITAT,   An area site off the New Jersey coast in which the Environmental Protection Agency wants specially equipped ships to burn toxic wastes has been found an important habitat of the endangered sperm whale and other marine mammmals.   The finding by...,http://www.nytimes.com/1985/04/02/us/area-for-ships-to-burn-wastes-is-found-to-be-whale-habitat.html
38,19850501,STEPSON SAYS FAMILY WEIGHED PAYING VON BULOW,"  Claus von Bulow's stepchildren and in-laws discussed making a cash payment to him if he would renounce any claim to the large estate of his comatose wife, Mr. von Bulow's stepson testified under cross-examination today.   The stepson, Alexander von...",http://www.nytimes.com/1985/05/02/us/stepson-says-family-weighed-paying-von-bulow.html
39,19850601,New Food Rules In Massachusetts,"  The Massachusetts Department of Public Health has revised its 20-year-old regulations for restaurants and food stores. The new rules, which are to be effective Oct. 1, were announced after the disclosure two weeks ago of a 1982 survey by the...",http://www.nytimes.com/1985/06/02/us/northeast-journal-new-food-rules-in-massachusetts.html
40,19850701,Come on Down!,"  Reporters and producers and sound men and hot-combed commentators who covered the Carter Administration and the Carter campaigns often numbed their friends and acquaintances by groaning about how boring it was to spend time in the Carter hometown,...",http://www.nytimes.com/1985/07/02/us/briefing-come-on-down.html
41,19850801,Wait a Wowate,"  On the questionable theory that what Washington needs is one more acronym, R. James Woolsey, former Under Secretary of the Navy, has produced a new unit for measuring time: the Wowate. The initials stand for ''World War II equivalent,'' and one...",http://www.nytimes.com/1985/08/02/us/briefing-wait-a-wowate.html
42,19850901,"IN UNION'S 80TH YEAR, 22 WOBBLIES KEEP RADICAL FIRES BURNING",  The convention got under way an hour late. The masking tape broke loose and a banner fell off the wall. The report of the general executive board could not be presented. It was said to be in the mail. A temporary chairman had to be elected to...,http://www.nytimes.com/1985/09/02/us/in-union-s-80th-year-22-wobblies-keep-radical-fires-burning.html
43,19851001,Study Says Household Items Do Not Pose a Risk of AIDS,"  The risk of transmitting acquired immune deficiency syndrome, or AIDS, from daily contact in the home apparently is nonexistent, even when people share toothbrushes, razors and other household items with victims of the disease, a new study says.  ...",http://www.nytimes.com/1985/10/02/us/study-says-household-items-do-not-pose-a-risk-of-aids.html
44,19851101,U.S. MANIPULATES PENSION FUNDS TOLIMIT ITS DEBT,  The Treasury on Friday night canceled $13 billion of Government securities held by the Social Security trust funds to prevent the Federal debt from exceeding the statutory limit.   The action became necesssary at midnight because Congress could not...,http://www.nytimes.com/1985/11/02/us/us-manipulates-pension-funds-tolimit-its-debt.html
45,19860101,"TRANSMISSIONS IN SOME G.M. CARS ARE DEFECTIVE, SAFETY GROUP SAYS",  An automobile safety group said today that automatic four-speed transmissions in many General Motors cars and trucks were defective.   The company's ''new generation of automatic transmissions beginning in 1982 and later model large cars and trucks...,http://www.nytimes.com/1986/01/02/us/transmissions-in-some-gm-cars-are-defective-safety-group-says.html
46,19860201,SPENDING UP IN 'REAGAN REVOLUTION',"  When President Reagan took office five years ago, he vowed to shrink the size and scope of government as part of an agenda that conservatives called the Reagan revolution. But despite some notable victories in limiting domestic programs, total...",http://www.nytimes.com/1986/02/02/us/spending-up-in-reagan-revolution.html
47,19860301,MIS ING LETT RS IN N W JERS Y SIGN,"  IT was a troubled bridge that curved over the waters of the Delaware River at Trenton this week.   The span in question is the Trenton-Morrisville Bridge, which connects Trenton and Morrisville, Pa.",http://www.nytimes.com/1986/03/02/us/northeast-journal-mis-ing-lett-rs-in-n-w-jers-y-sign.html
48,19860401,URANIUM TRACES FOUND NEAR OKLAHOMA SITE,"  Measurable levels of uranium and fluorine have been found southeast of a uranium-processing plant that was closed after a fatal accident earlier this year, but the contamination may not be a health hazard, according to a Federal report released...",http://www.nytimes.com/1986/04/02/us/uranium-traces-found-near-oklahoma-site.html
49,19860501,"6 CONVICTED, 5 CLEARED OF PLOT TO SMUGGLE IN ALIENS FOR SANCTUARY","  A Federal jury today convicted six activists of conspiring to smuggle Salvadorans and Guatemalans into the United States.   Five defendants were cleared of that charge, the most serious against the 11 church workers who were tried. Three of those...",http://www.nytimes.com/1986/05/02/us/6-convicted-5-cleared-of-plot-to-smuggle-in-aliens-for-sanctuary.html
50,19860601,RELIGIOUS RIGHT CHALLENGING G.O.P.,"  The sudden emergence of the Rev. Pat Robertson and the religious right in Presidential politics means Republicans must reassess their strategies for 1988, their advisers and political experts say.   Although the 55-year-old television evangelist's...",http://www.nytimes.com/1986/06/02/us/religious-right-challenging-gop.html
51,19860701,Deus ex machina I,"  The development of direct mail solicitation into a major source of political finance and the concurrent rise of feminism occasionally run at cross-purposes, converting former friends of the party into enemies. Fund-raising by mail depends heavily...",http://www.nytimes.com/1986/07/02/us/briefing-deus-ex-machina-i.html
52,19860801,Quips With Cuomo,"  Governor Cuomo of New York was host for a fund-raising affair this week at the National Press Club for Representative Stan Lundine, the Governor's candidate for Lieutenant Governor, occasioning a barrage of quips about a possible Cuomo run for the...",http://www.nytimes.com/1986/08/02/us/washington-talk-briefing-quips-with-cuomo.html
53,19860901,The Kauls Are Everywhere,"  India's new Ambassador to the United States has arrived in Washington, and it will be understandable if there is some confusion over names back at the Foreign Office in New Delhi for a while. India's new man in Washington is P. K. Kaul, and at...",http://www.nytimes.com/1986/09/02/us/washington-talk-briefing-the-kauls-are-everywhere.html
54,19861001,"15% of Elected City Officials Are Women, New Study Says","  More than 15 percent of the mayors and city council members in cities over 10,000 people are women, the National League of Cities said Monday. That triples the figure of little more than a decade ago.",http://www.nytimes.com/1986/10/02/us/15-of-elected-city-officials-are-women-new-study-says.html
55,19861101,CHICAGO VOTE PLAN UPSET,  The Illinois Supreme Court has ruled that a proposed referendum to make Chicago's mayoral election nonpartisan is too ambiguous to be constitutionally valid.   The proposed referendum did not state when it was to be effective or in which election...,http://www.nytimes.com/1986/11/02/us/chicago-vote-plan-upset.html
56,19870101,They Who 'Delivered' Boesky Are Perplexed,"LEAD: One day late last summer, Gary G. Lynch, head of the Securities and Exchange Commission's enforcement division, snapped his fingers, turned briskly from the elevator bank on the fourth-floor of the commission's main building and strode down the...",http://www.nytimes.com/1987/01/02/us/washington-talk-securities-exchange-commission-they-who-delivered-boesky-are.html
57,19870201,AIDS AMONG CLERGY PRESENTS CHALLENGES TO CATHOLIC CHURCH,"LEAD: Some Roman Catholic officials have begun to acknowledge reports from doctors, social workers and others that members of the Catholic clergy, like Americans in other sectors of society, are suffering and dying from AIDS.",http://www.nytimes.com/1987/02/02/us/aids-among-clergy-presents-challenges-to-catholic-church.html
58,19870301,TORNADO SURVIVORS DIG OUT OF DEBRIS,LEAD: Chain saws roared through a sea of downed pines here today as residents cleared debris from the wake of a tornado that raked a 20-mile strip of southeast Mississippi.,http://www.nytimes.com/1987/03/02/us/tornado-survivors-dig-out-of-debris.html
59,19870401,Evangelist Now Calls For $8 Million a Year,"LEAD: The evangelist Oral Roberts told his followers today that God had spared him because they had contributed more than $8 million, but he said the Lord had told him ''we must continue'' to raise that amount every year until the Second Coming of...",http://www.nytimes.com/1987/04/02/us/evangelist-now-calls-for-8-million-a-year.html
60,19870501,Answers To Quiz,"LEAD: 1. The X-ray is of an Egyption bronze cat, one of the most popular sculptures at the museum, previously believed to date from around 300 B.C. It shows a porous form of bronze, virtually unknown for that period, and museum officials say the cat...",http://www.nytimes.com/1987/05/02/us/answers-to-quiz.html
61,19870601,PTL'S DUAL VIEWS OF TV,"LEAD: The PTL ministry uses television in two ways, both as a buyer and as a seller.",http://www.nytimes.com/1987/06/02/us/ptl-s-dual-views-of-tv.html
62,19870701,"Crew Cuts Engines in Error, Sending Jetliner Toward Sea","LEAD: A Delta Air Lines jet carrying 205 people plunged to within 600 feet of the Pacific Ocean on Tuesday, and the crew told investigators today that they had inadvertently shut down both engines.",http://www.nytimes.com/1987/07/02/us/crew-cuts-engines-in-error-sending-jetliner-toward-sea.html
63,19870801,Error Razes Ancient Village,LEAD: A bulldozer operator unknowingly destroyed an unmarked 800-year-old Indian village that archeologists had hoped would provide a rare glimpse into pre-Columbian American culture.,http://www.nytimes.com/1987/08/02/us/error-razes-ancient-village.html
64,19870901,BENZENE EXPOSURE IS CURBED BY U.S.,"LEAD: The Labor Department today ordered a 90 percent reduction in occupational exposure to benzene, culminating a bitter, decade-long legal battle over how to reduce leukemia deaths among some 240,000 workers who breathe its fumes.",http://www.nytimes.com/1987/09/02/us/benzene-exposure-is-curbed-by-us.html
65,19871001,The Tape: What Sin?; Puzzlement at Case Of Dukakis's Aide,"LEAD: In the aftermath of an episode that led to his resignation as Presidential campaign manager for Michael S. Dukakis, many political operatives and observers are wondering exactly what it is that John Sasso did wrong.",http://www.nytimes.com/1987/10/02/us/the-tape-what-sin-puzzlement-at-case-of-dukakis-s-aide.html
66,19871101,Lawsuit to Determine Rights of Illegal Aliens,"LEAD: Three years ago, Alicia Castrejon, a young, undocumented worker from the state of Michoacan, Mexico, had a job counting and packaging tortillas in Farmersville, a small town about 30 miles south of Fresno in California's central agricultural...",http://www.nytimes.com/1987/11/02/us/lawsuit-to-determine-rights-of-illegal-aliens.html
67,19880101,SOUTH CAROLINA G.O.P. IS ACCUSED OF RACISM,LEAD: A Roman Catholic clergyman says that the South Carolina Republican Party is helping perpetuate a segregated society and that racism should be stamped out on the 125th anniversary of Lincoln's Emancipation Proclamation.,http://www.nytimes.com/1988/01/02/us/south-carolina-gop-is-accused-of-racism.html
68,19880201,China Protests,"LEAD: The Chinese Government has protested a plan by the Pentagon to include China on a new list of nations that are considered hostile to the United States, according to officials of the Defense Department.",http://www.nytimes.com/1988/02/02/us/washington-talk-briefing-china-protests.html
69,19880301,Dukakis and Bush Win Vermont,"LEAD: Gov. Michael S. Dukakis easily won the Vermont Democratic Presidential primary today, with the Rev. Jesse Jackson the runner-up. Vice President Bush defeated Senator Bob Dole in the Republican race.",http://www.nytimes.com/1988/03/02/us/dukakis-and-bush-win-vermont.html
70,19880401,A Gay Rights Victory at Georgetown,LEAD: An eight-year legal battle that pitted gay students against the nation's oldest Roman Catholic university ended this week as lawyers for Georgetown University in Washington agreed to give homosexual student groups the same privileges as other...,http://www.nytimes.com/1988/04/02/us/a-gay-rights-victory-at-georgetown.html
71,19880501,U.S. PLAN FOR LEASE IN SPACE OPPOSED,LEAD: A group of key Senators has rejected President Reagan's proposal for government leasing of much of a no-frills space station that would be commercially developed and owned. The Senators instead ordered an independent assessment of the proposed...,http://www.nytimes.com/1988/05/02/us/us-plan-for-lease-in-space-opposed.html
72,19880601,House Backs a Move for a Drug-Free Workplace,LEAD: The House today overwhelmingly approved a measure that some legislators said could become a model for requiring Federal contractors to maintain a drug-free workplace.,http://www.nytimes.com/1988/06/02/us/house-backs-a-move-for-a-drug-free-workplace.html
73,19880701,CONTRACT FREEZE DIFFICULT FOR PENTAGON,"LEAD: The Defense Department's decision to freeze nine military equipment programs today because of reported contracting irregularities caught Pentagon managers completely by surprise, and left them wondering how they would put Defense Secretary...",http://www.nytimes.com/1988/07/02/us/contract-freeze-difficult-for-pentagon.html
74,19880801,"Washington Talk: Briefing; Ideas, Not Insults","LEAD: In her keynote speech at the Democratic National Convention in Atlanta, Ann Richards, the Texas State Treasurer, drew a lot of laughs at the expense of ''poor George'' Bush. So will Gov. Thomas H. Kean of New Jersey, who is to deliver the...",http://www.nytimes.com/1988/08/02/us/washington-talk-briefing-ideas-not-insults.html
75,19880901,At the Bar,"LEAD: ''Freedom of association,'' the right to belong to groups of one's choosing, is nowhere mentioned in the Constitution. It is a concept often read into the First Amendment by lawyers, argued by lawyers, written and refined by lawyers, expanded...",http://www.nytimes.com/1988/09/02/us/the-law-at-the-bar.html
76,19881001,"Omaha, Debate Site, to Aid Homeless","LEAD: Shelter has been offered to several hundred homeless people during the Vice-Presidential debate here next week, but city officials denied that the idea was to push homeless people out of sight.",http://www.nytimes.com/1988/10/02/us/omaha-debate-site-to-aid-homeless.html
77,19881101,The Race for Congress; St Germain Is Pursued By Rival and Questions,"LEAD: Battling persistent questions about ethical behavior, Fernand J. St Germain, a Rhode Island Congressman for 28 years who is chairman of the powerful House Banking, Finance and Urban Affairs Committee, is facing one of his strongest re-election...",http://www.nytimes.com/1988/11/02/us/the-race-for-congress-st-germain-is-pursued-by-rival-and-questions.html
78,19890101,Washington Talk: Congress; Banking Chairmen Show Sharp Contrast in Styles,"LEAD: One wears Kelly green sport jackets, the other pin-striped suits. One has decorated his office with political memorabilia dating back 30 years or more; the other prefers modern art. One held a two-hour press conference earlier this month,...",http://www.nytimes.com/1989/01/02/us/washington-talk-congress-banking-chairmen-show-sharp-contrast-in-styles.html
79,19890201,Space Shuttle Mission Delayed About 3 Weeks,LEAD: The space agency announced yesterday that it would delay the launching of the next space shuttle mission for about three weeks to replace suspect engine parts whose failure could cause a catastrophic explosion.,http://www.nytimes.com/1989/02/02/us/space-shuttle-mission-delayed-about-3-weeks.html
80,19890301,Witness Says North Knew Ban on Aid Covered Him,"LEAD: Oliver L. North knew that a Congressional ban on Government help to the Nicaraguan rebels applied to his activities on the contras' behalf, a retired major general who raised funds for the rebels testified today.",http://www.nytimes.com/1989/03/02/us/witness-says-north-knew-ban-on-aid-covered-him.html
81,19890401,More Waste Dumps Are Placed On List For Federal Cleanup,LEAD: The Environmental Protection Agency has added 101 sites in 33 states to its list of hazardous waste dumps that pose the greatest long-term threat to public health and the environment.,http://www.nytimes.com/1989/04/02/us/more-waste-dumps-are-placed-on-list-for-federal-cleanup.html
82,19890501,San Francisco Journal; Undercurrent of Ill Will Grows With Chinatown,LEAD: A visitor to this city's North Beach neighborhood could easily assume that the traditionally Italian community and its recently arrived Chinese neighbors have settled into the most harmonious blending of cultures since Marco Polo helped turn...,http://www.nytimes.com/1989/05/02/us/san-francisco-journal-undercurrent-of-ill-will-grows-with-chinatown.html
83,19890601,Death Is as Capricious as Life for Farm Leader,"LEAD: As the farm crisis of the 1980's deepened, Dixon Terry rallied farmers who were beaten and weary, calling on them to turn their plowshares into political swords.",http://www.nytimes.com/1989/06/02/us/death-is-as-capricious-as-life-for-farm-leader.html
84,19890701,Support Is Off For Abortion,"LEAD: As both sides await a Supreme Court ruling on abortion, public support for the existing state of the law has slipped slightly, a New York Times Poll shows.",http://www.nytimes.com/1989/07/02/us/support-is-off-for-abortion.html
85,19890801,"Amendment Needed To Protect the Flag, Bork Tells Senators","LEAD: The atmosphere was stiffly polite today as Robert H. Bork returned to the Senate Judiciary Committee for a hearing about flag burning, his first appearance there since the panel shattered his hopes of becoming a Justice of the Supreme Court.",http://www.nytimes.com/1989/08/02/us/amendment-needed-to-protect-the-flag-bork-tells-senators.html
86,19890901,Spill on Delaware Was Small,"LEAD: The Coast Guard today lowered its estimate of the size of an oil spill Thursday in the Delaware River. The 865-foot tanker Minerva, registered in Singapore, was first reported to have spilled thousands of gallons of crude oil as it was...",http://www.nytimes.com/1989/09/02/us/spill-on-delaware-was-small.html
87,19891001,"'Class War' Pitch Now Fails, Democrats Find in Tax Defeat","LEAD: The Democratic defeat on the capital gains tax in the House of Representatives this week is raising new questions on Capitol Hill about the party's message, the strength of its leadership and its ability to hold the line against a popular...",http://www.nytimes.com/1989/10/01/us/political-memo-class-war-pitch-now-fails-democrats-find-in-tax-defeat.html
88,19891101,"House, 382-37, Approves Bill To Raise the Minimum Wage","LEAD: By a lopsided margin, the House today approved legislation to increase the minimum wage to $4.25 an hour by 1991 and to create a $3.35 training wage for workers under 20 years old.",http://www.nytimes.com/1989/11/02/us/house-382-37-approves-bill-to-raise-the-minimum-wage.html
89,19900101,A Way Out of Welfare Via Foster-Mother Role,"LEAD: Fourteen mothers who were once on welfare have found $21,000-a-year jobs - as mothers. They are serving as foster parents to disabled children under a state program.",http://www.nytimes.com/1990/01/02/us/a-way-out-of-welfare-via-foster-mother-role.html
90,19900201,Dallas Jury Convicts Woman For Counterfeit Coupon Plot,LEAD: A woman with a passion for clipping coupons and proof-of-purchase seals has been convicted of dealing in counterfeit coupons in a $2 million scheme.,http://www.nytimes.com/1990/02/01/us/dallas-jury-convicts-woman-for-counterfeit-coupon-plot.html
91,19900301,"Chronology of Seabrook: Plans, Protests, Building","LEAD:    1966: The Public Service Company of New Hampshire tentatively decides to build a nuclear power plant, among the first in New England, in Newington, N.H. The Atomic Energy Commission says the site is too near Pease Air Force Base.    January...",http://www.nytimes.com/1990/03/02/us/chronology-of-seabrook-plans-protests-building.html
92,19900401,"In Idaho Leader's Veto, A Taste of Independence",LEAD: Gov. Cecil D. Andrus has been called many things since Friday when he vetoed a bill that would have made it nearly impossible to get an abortion in his state.,http://www.nytimes.com/1990/04/02/us/in-idaho-leader-s-veto-a-taste-of-independence.html
93,19900501,Alzheimer's and Architecture: A Search for Order,"LEAD: In the hills of Geauga County, 22 miles east of Cleveland, a tiny rest home is doing research that may help the nation's four million Alzheimer's patients, and the families and nursing homes that care for them, get through the daily crises of...",http://www.nytimes.com/1990/05/02/us/alzheimer-s-and-architecture-a-search-for-order.html
